A,B,freq,genericity,Class
relations,commerciales,86,8.461904165,theme
exploitation,hydrocarbures,86,8.461904165,theme
long,terme,86,8.461904165,drop
amendement,supprime,86,8.461904165,intention
habitations,loyer,85,8.473600204,drop
services,publics,85,8.473600204,theme
notamment,cas,85,8.473600204,drop
vise,élargir,85,8.473600204,intention
logements,locatifs,85,8.473600204,theme
lors,examen,85,8.473600204,drop
taux,forfaitaire,84,8.485434662,drop
accession,propriété,84,8.485434662,theme
accession,sociale,84,8.485434662,theme
marchands,sommeil,84,8.485434662,theme
chefs,entreprise,84,8.485434662,theme
public,coopération,84,8.485434662,drop
bâtiments,france,84,8.485434662,drop
objet,permettre,83,8.497410853,intention
secret,affaires,83,8.497410853,theme
communautés,communes,83,8.497410853,actor
exploitants,agricoles,83,8.497410853,theme
commission,affaires,83,8.497410853,actor
représentation,nationale,83,8.497410853,actor
impôt,fortune,83,8.497410853,theme
grandes,opérations,82,8.509532214,theme
commission,finances,82,8.509532214,actor
formation,prix,82,8.509532214,drop
contrat,professionnalisation,82,8.509532214,theme
amendement,inscrit,81,8.521802306,intention
rendre,obligatoire,81,8.521802306,drop
opérations,urbanisme,81,8.521802306,drop
place,dispositif,81,8.521802306,drop
utilisation,produits,81,8.521802306,drop
assurance,chômage,81,8.521802306,theme
partenarial,aménagement,81,8.521802306,drop
acteurs,économiques,81,8.521802306,actor
précision,rédactionnelle,81,8.521802306,type
action,sociale,80,8.534224826,drop
séjour,étrangers,80,8.534224826,theme
sécurité,juridique,80,8.534224826,drop
convient,supprimer,80,8.534224826,intention
carte,séjour,80,8.534224826,theme
eau,assainissement,80,8.534224826,theme
code,consommation,79,8.546803608,support
agricoles,alimentaires,79,8.546803608,drop
article,cgi,79,8.546803608,drop
auteurs,amendement,79,8.546803608,drop
programmation,militaire,79,8.546803608,support
in,fine,79,8.546803608,drop
européen,conseil,79,8.546803608,actor
recettes,fiscales,79,8.546803608,theme
atteinte,objectifs,79,8.546803608,drop
offices,publics,79,8.546803608,drop
revitalisation,territoire,78,8.559542634,theme
utilité,publique,78,8.559542634,drop
transfert,compétence,78,8.559542634,theme
vise,prévoir,78,8.559542634,intention
opérations,aménagement,78,8.559542634,theme
temps,travail,78,8.559542634,theme
production,logements,77,8.572446039,drop
répondre,besoins,77,8.572446039,drop
zones,rurales,77,8.572446039,theme
formation,apprentis,77,8.572446039,theme
déclaration,préalable,77,8.572446039,theme
homme,citoyen,77,8.572446039,drop
peine,complémentaire,77,8.572446039,theme
consommation,produits,77,8.572446039,drop
droit,européen,77,8.572446039,support
protection,données,76,8.585518121,theme
juillet,relative,76,8.585518121,drop
exploitations,agricoles,76,8.585518121,theme
villes,moyennes,76,8.585518121,theme
autorisation,urbanisme,76,8.585518121,theme
dispositions,législatives,76,8.585518121,drop
petites,moyennes,76,8.585518121,drop
objectifs,fixés,76,8.585518121,drop
état,collectivités,76,8.585518121,drop
situation,irrégulière,76,8.585518121,theme
transparence,vie,76,8.585518121,theme
vise,faire,75,8.598763347,intention
mise,concurrence,75,8.598763347,drop
adopté,sénat,75,8.598763347,drop
alimentation,saine,75,8.598763347,drop
parties,prenantes,75,8.598763347,drop
droit,français,75,8.598763347,drop
conditions,travail,75,8.598763347,drop
code,électoral,74,8.612186368,support
prévoit,possibilité,74,8.612186368,drop
décembre,finances,74,8.612186368,drop
déclaration,droits,74,8.612186368,drop
perte,autonomie,74,8.612186368,theme
vise,créer,74,8.612186368,intention
porte,atteinte,74,8.612186368,drop
loi,transition,74,8.612186368,theme
publics,habitat,74,8.612186368,drop
suppression,article,73,8.62579202,intention
logements,neufs,73,8.62579202,theme
amendement,demande,73,8.62579202,intention
prenant,compte,73,8.62579202,drop
mis,disposition,73,8.62579202,drop
l,code,72,8.639585342,drop
code,entrée,72,8.639585342,drop
étrangers,droit,72,8.639585342,drop
bonnes,pratiques,72,8.639585342,drop
nouvelle,rédaction,72,8.639585342,drop
branches,professionnelles,72,8.639585342,drop
epci,fiscalité,72,8.639585342,theme
remise,rapport,71,8.653571584,drop
ensemble,acteurs,71,8.653571584,drop
insécurité,juridique,71,8.653571584,drop
force,constater,71,8.653571584,drop
centres,formation,71,8.653571584,drop
fin,année,71,8.653571584,drop
monuments,historiques,71,8.653571584,theme
conseil,national,71,8.653571584,drop
relative,transparence,71,8.653571584,drop
grandes,entreprises,71,8.653571584,theme
commerce,industrie,71,8.653571584,drop
actions,formation,71,8.653571584,drop
loi,vise,71,8.653571584,intention
milliard,euros,71,8.653571584,theme
direction,générale,70,8.667756219,actor
conditions,vie,70,8.667756219,drop
commission,nationale,70,8.667756219,actor
insertion,professionnelle,70,8.667756219,theme
projet,partenarial,70,8.667756219,drop
loi,elan,70,8.667756219,drop
fraude,fiscale,70,8.667756219,theme
autorisation,préalable,70,8.667756219,drop
vise,également,69,8.682144956,intention
texte,adopté,69,8.682144956,drop
demandeurs,emploi,69,8.682144956,theme
agents,publics,69,8.682144956,theme
état,droit,69,8.682144956,drop
délai,ans,69,8.682144956,drop
rétablir,texte,69,8.682144956,drop
fortune,immobilière,69,8.682144956,drop
loyer,solidarité,69,8.682144956,drop
société,confiance,68,8.696743756,drop
iii,article,68,8.696743756,drop
article,règlement,68,8.696743756,drop
but,lucratif,68,8.696743756,drop
acteurs,locaux,68,8.696743756,drop
lutte,gaspillage,68,8.696743756,theme
immobilisation,industrielle,68,8.696743756,drop
niveau,national,68,8.696743756,drop
prises,compte,68,8.696743756,drop
obligation,emploi,68,8.696743756,drop
présent,texte,68,8.696743756,drop
couverture,mobile,68,8.696743756,drop
agriculture,alimentation,67,8.711558841,drop
rapport,annexé,67,8.711558841,drop
objet,préciser,67,8.711558841,intention
égalité,citoyenneté,67,8.711558841,drop
nationale,sénat,67,8.711558841,drop
organisation,jeux,67,8.711558841,theme
parcours,professionnels,67,8.711558841,drop
droit,préemption,67,8.711558841,drop
autorité,concurrence,67,8.711558841,actor
article,propose,67,8.711558841,drop
liberté,expression,67,8.711558841,theme
adopté,assemblée,67,8.711558841,drop
intérêt,national,66,8.726596719,drop
vise,compléter,66,8.726596719,intention
remise,cause,66,8.726596719,drop
porter,atteinte,66,8.726596719,drop
protection,sociale,66,8.726596719,theme
nationalité,française,66,8.726596719,drop
matière,aménagement,66,8.726596719,drop
produits,énergétiques,66,8.726596719,drop
gouvernement,souhaite,66,8.726596719,drop
casier,judiciaire,66,8.726596719,theme
modalités,application,65,8.741864191,drop
mises,œuvre,65,8.741864191,drop
état,membre,65,8.741864191,drop
entreprises,concernées,65,8.741864191,drop
règlement,européen,65,8.741864191,support
article,alinéa,65,8.741864191,drop
locatifs,sociaux,65,8.741864191,drop
plan,climat,65,8.741864191,theme
droit,privé,64,8.757368378,drop
groupe,travail,64,8.757368378,drop
économie,mixte,64,8.757368378,drop
bon,sens,64,8.757368378,drop
procédure,accélérée,64,8.757368378,support
dispositif,proposé,64,8.757368378,drop
conformément,article,64,8.757368378,drop
protection,environnement,64,8.757368378,drop
stratégie,nationale,64,8.757368378,drop
accès,soins,64,8.757368378,theme
état,cause,64,8.757368378,drop
vise,clarifier,64,8.757368378,intention
service,société,63,8.773116734,drop
faire,évoluer,63,8.773116734,drop
modifier,article,63,8.773116734,intention
croissance,verte,63,8.773116734,theme
juge,administratif,63,8.773116734,actor
ministère,armées,63,8.773116734,actor
caractère,personnel,63,8.773116734,drop
régime,juridique,63,8.773116734,drop
rétablir,article,63,8.773116734,intention
taux,tva,63,8.773116734,theme
code,transports,63,8.773116734,support
article,directive,63,8.773116734,support
avis,conseil,62,8.789117076,support
demandeur,emploi,62,8.789117076,theme
organisations,producteurs,62,8.789117076,drop
délai,jours,62,8.789117076,drop
données,caractère,62,8.789117076,drop
observatoire,formation,62,8.789117076,drop
revenu,fiscal,62,8.789117076,theme
transition,professionnelle,62,8.789117076,theme
directeur,général,62,8.789117076,actor
prévoit,également,62,8.789117076,drop
mise,demeure,62,8.789117076,drop
vise,revenir,61,8.805377597,intention
taxe,apprentissage,61,8.805377597,theme
sociale,propriété,61,8.805377597,drop
état,lieux,61,8.805377597,drop
actuel,droit,61,8.805377597,drop
titre,expérimental,61,8.805377597,drop
cadre,juridique,61,8.805377597,drop
travaux,rénovation,60,8.821906899,drop
y,lieu,60,8.821906899,drop
organisations,syndicales,60,8.821906899,actor
opérations,revitalisation,60,8.821906899,drop
secteur,agricole,60,8.821906899,theme
taxe,intérieure,60,8.821906899,theme
droits,fondamentaux,60,8.821906899,theme
régime,fiscal,60,8.821906899,theme
valeurs,locatives,60,8.821906899,theme
souci,cohérence,60,8.821906899,drop
donner,lieu,60,8.821906899,drop
communautés,agglomération,60,8.821906899,actor
cahiers,charges,60,8.821906899,drop
administration,collectivités,60,8.821906899,drop
mission,service,60,8.821906899,drop
code,minier,60,8.821906899,support
architecte,bâtiments,60,8.821906899,actor
prix,vente,60,8.821906899,drop
exploration,exploitation,60,8.821906899,drop
produits,phytosanitaires,60,8.821906899,drop
article,introduit,60,8.821906899,drop
vise,intégrer,60,8.821906899,intention
planification,fiscale,60,8.821906899,drop
transparence,permet,60,8.821906899,drop
évasion,optimisation,60,8.821906899,drop
amendement,entend,59,8.838714017,drop
dépôts,consignations,59,8.838714017,actor
heure,actuelle,59,8.838714017,drop
amendement,appel,59,8.838714017,type
loi,mop,59,8.838714017,drop
autorisations,urbanisme,59,8.838714017,drop
rétention,administrative,59,8.838714017,theme
énergétique,croissance,59,8.838714017,theme
adoptée,assemblée,59,8.838714017,drop
objectif,poursuivi,59,8.838714017,drop
bon,fonctionnement,59,8.838714017,drop
décembre,relative,59,8.838714017,drop
chambres,commerce,59,8.838714017,actor
communes,groupements,59,8.838714017,actor
atteindre,objectifs,59,8.838714017,drop
cotisations,sociales,59,8.838714017,drop
conseil,syndical,59,8.838714017,drop
fiscal,référence,59,8.838714017,drop
langue,française,59,8.838714017,drop
texte,voté,59,8.838714017,drop
euros,amende,59,8.838714017,drop
logements,intermédiaires,59,8.838714017,drop
faire,respecter,59,8.838714017,drop
nouvelles,dispositions,58,8.85580845,drop
sens,amendement,58,8.85580845,drop
intérieure,consommation,58,8.85580845,drop
demandes,asile,58,8.85580845,theme
changement,usage,58,8.85580845,drop
meublés,tourisme,58,8.85580845,drop
violences,sexuelles,58,8.85580845,theme
harcèlement,sexuel,58,8.85580845,theme
amendement,permettre,58,8.85580845,intention
actuelle,article,58,8.85580845,drop
politique,publique,58,8.85580845,drop
cadre,projet,58,8.85580845,drop
rédaction,issue,58,8.85580845,drop
code,énergie,58,8.85580845,support
parois,vitrées,58,8.85580845,drop
maîtrise,œuvre,57,8.873200193,drop
président,conseil,57,8.873200193,drop
traitement,données,57,8.873200193,theme
forces,armées,57,8.873200193,theme
communes,situées,57,8.873200193,drop
zones,c,57,8.873200193,drop
séjour,temporaire,57,8.873200193,drop
lutter,efficacement,57,8.873200193,drop
bailleur,social,57,8.873200193,actor
mettre,cohérence,57,8.873200193,drop
accord,préalable,57,8.873200193,drop
termes,article,57,8.873200193,drop
délai,raisonnable,57,8.873200193,drop
précarité,énergétique,57,8.873200193,theme
amendement,tend,57,8.873200193,drop
assurance,vieillesse,57,8.873200193,theme
janvier,relative,57,8.873200193,drop
amendement,présenté,56,8.89089977,drop
sécurité,intérieure,56,8.89089977,theme
relative,transition,56,8.89089977,drop
contribution,unique,56,8.89089977,theme
violences,conjugales,56,8.89089977,theme
proposé,amendement,56,8.89089977,drop
députés,sénateurs,56,8.89089977,actor
pays,européens,56,8.89089977,drop
grande,majorité,56,8.89089977,drop
état,avis,56,8.89089977,drop
taxe,affectée,56,8.89089977,drop
réalisation,travaux,56,8.89089977,drop
obligations,déclaratives,56,8.89089977,theme
isolation,thermique,56,8.89089977,theme
prendre,mesures,55,8.908918276,drop
étendre,champ,55,8.908918276,drop
action,logement,55,8.908918276,drop
permet,également,55,8.908918276,drop
état,service,55,8.908918276,drop
hébergement,urgence,55,8.908918276,theme
représentant,état,55,8.908918276,actor
droit,public,55,8.908918276,drop
assignation,résidence,55,8.908918276,theme
ans,emprisonnement,55,8.908918276,drop
locatif,social,55,8.908918276,drop
offre,formation,55,8.908918276,theme
août,relative,55,8.908918276,drop
secteur,public,55,8.908918276,drop
contrat,projet,55,8.908918276,drop
défenseur,droits,55,8.908918276,actor
partis,groupements,55,8.908918276,theme
documents,urbanisme,55,8.908918276,support
sociétés,anonymes,55,8.908918276,drop
bis,code,55,8.908918276,drop
contribution,climat,55,8.908918276,drop
climat,énergie,55,8.908918276,theme
informations,relatives,55,8.908918276,drop
tirer,conséquences,54,8.927267414,drop
dispositions,prévues,54,8.927267414,drop
amendement,visant,54,8.927267414,intention
matières,premières,54,8.927267414,theme
droit,séjour,54,8.927267414,theme
statut,réfugié,54,8.927267414,theme
communes,membres,54,8.927267414,actor
durée,indéterminée,54,8.927267414,drop
demander,gouvernement,54,8.927267414,drop
mentionnées,article,54,8.927267414,drop
agressions,sexuelles,54,8.927267414,theme
vente,produits,54,8.927267414,drop
ménages,modestes,54,8.927267414,drop
volets,isolants,54,8.927267414,drop
maître,ouvrage,54,8.927267414,drop
autorité,compétente,54,8.927267414,drop
réduction,loyer,54,8.927267414,drop
loi,février,53,8.945959547,drop
taux,zéro,53,8.945959547,drop
utilité,sociale,53,8.945959547,drop
vise,ajouter,53,8.945959547,intention
vise,donner,53,8.945959547,intention
article,déclaration,53,8.945959547,drop
cas,refus,53,8.945959547,drop
matière,lutte,53,8.945959547,drop
commission,départementale,53,8.945959547,actor
entreprises,artisanales,53,8.945959547,drop
situation,financière,53,8.945959547,drop
cadre,plan,53,8.945959547,drop
rédaction,initiale,53,8.945959547,drop
améliorer,qualité,53,8.945959547,drop
gestion,déchets,53,8.945959547,theme
demande,autorisation,53,8.945959547,drop
vise,demander,53,8.945959547,intention
maîtres,ouvrage,53,8.945959547,drop
introduit,sénat,53,8.945959547,drop
rapport,parlement,53,8.945959547,intention
existe,déjà,53,8.945959547,drop
emprisonnement,euros,53,8.945959547,drop
qualité,nutritionnelle,53,8.945959547,drop
avantage,fiscal,53,8.945959547,theme
acteurs,concernés,52,8.965007742,drop
code,action,52,8.965007742,support
maîtrise,ouvrage,52,8.965007742,drop
agression,sexuelle,52,8.965007742,theme
faire,bénéficier,52,8.965007742,drop
amendement,complète,52,8.965007742,intention
vise,introduire,52,8.965007742,intention
atteindre,objectif,52,8.965007742,intention
urbanisme,gou,52,8.965007742,drop
compétence,matière,52,8.965007742,drop
article,article,52,8.965007742,drop
circonstance,aggravante,52,8.965007742,drop
niveau,européen,52,8.965007742,drop
communes,rurales,52,8.965007742,drop
grand,paris,52,8.965007742,actor
attribution,logements,52,8.965007742,drop
prix,produits,52,8.965007742,drop
mettre,terme,52,8.965007742,drop
article,ordonnance,52,8.965007742,drop
moyens,financiers,52,8.965007742,drop
cour,cassation,52,8.965007742,actor
forces,ordre,52,8.965007742,theme
diffusion,fausses,52,8.965007742,drop
colonnes,montantes,52,8.965007742,drop
article,permet,51,8.984425828,intention
mesure,proposée,51,8.984425828,drop
taux,imposition,51,8.984425828,drop
mois,compter,51,8.984425828,drop
haut,conseil,51,8.984425828,actor
prêt,taux,51,8.984425828,drop
milieu,rural,51,8.984425828,drop
france,insoumise,51,8.984425828,actor
convient,préciser,51,8.984425828,drop
loi,littoral,51,8.984425828,drop
libertés,fondamentales,51,8.984425828,theme
lutte,précarité,51,8.984425828,theme
fonds,propres,51,8.984425828,drop
agence,nationale,51,8.984425828,drop
autorisations,engagement,51,8.984425828,drop
vise,prendre,51,8.984425828,intention
collectivité,territoriale,51,8.984425828,actor
boissons,sucrées,51,8.984425828,drop
domaine,public,51,8.984425828,drop
organismes,logements,51,8.984425828,drop
affaires,sociales,51,8.984425828,drop
code,défense,51,8.984425828,support
dernier,alinéa,51,8.984425828,drop
directive,européenne,51,8.984425828,support
caractère,racial,51,8.984425828,drop
manque,gagner,51,8.984425828,drop
établissements,santé,51,8.984425828,actor
étrangers,situation,51,8.984425828,drop
dotation,solidarité,51,8.984425828,drop
plan,local,51,8.984425828,drop
exonération,taxe,51,8.984425828,drop
système,santé,51,8.984425828,theme
droit,actuel,51,8.984425828,drop
transport,ferroviaire,51,8.984425828,theme
adopté,commission,51,8.984425828,drop
consommation,énergie,51,8.984425828,theme
inspection,générale,50,9.004228455,actor
loi,propose,50,9.004228455,drop
gouvernement,propose,50,9.004228455,intention
agricole,alimentaire,50,9.004228455,drop
code,douanes,50,9.004228455,support
décret,application,50,9.004228455,support
article,proposition,50,9.004228455,drop
production,agricole,50,9.004228455,drop
mentionnés,article,50,9.004228455,drop
emploi,travailleurs,50,9.004228455,drop
puissance,publique,50,9.004228455,drop
moyen,terme,50,9.004228455,drop
